attack,cost,dbfId,health,id,name,type,mechanics/0,race,,,,,,,,,,,,,,,
2,2,37,2,EX1_076,Pint-Sized Summoner,MINION,AURA,,,,,,,,,,,,,,,,
,,52756,,EX1_076e,Pint-Sized Power,ENCHANTMENT,,,,,,,,,,,,,,,,,
1,1,158,2,EX1_080,Secretkeeper,MINION,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
,,634,,EX1_080o,Keeping Secrets,ENCHANTMENT,,,,,,,,,,,,,,,,,
3,2,762,2,EX1_082,Mad Bomber,MINION,BATTLECRY,,,,,,,,,,,,,,,,
3,3,570,3,EX1_083,Tinkmaster Overspark,MINION,BATTLECRY,,,,,,,,,,,,,,,,
2,3,1009,3,EX1_084,Warsong Commander,MINION,AURA,,,,,,,,,,,,,,,,
,,706,,EX1_084e,Charge,ENCHANTMENT,,,,,,,,,,,,,,,,,
3,3,734,3,EX1_085,Mind Control Tech,MINION,BATTLECRY,,,,,,,,,,,,,,,,
4,3,466,4,EX1_089,Arcane Golem,MINION,BATTLECRY,,,,,,,,,,,,,,,,
4,6,272,5,EX1_091,Cabal Shadow Priest,MINION,BATTLECRY,,,,,,,,,,,,,,,,
2,4,763,3,EX1_093,Defender of Argus,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,,1103,,EX1_093e,Hand of Argus,ENCHANTMENT,,,,,,,,,,,,,,,,,
4,6,932,4,EX1_095,Gadgetzan Auctioneer,MINION,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
2,2,251,1,EX1_096,Loot Hoarder,MINION,DEATHRATTLE,,,,,,,,,,,,,,,,
4,5,440,4,EX1_097,Abomination,MINION,DEATHRATTLE,,,,,,,,,,,,,,,,
0,2,1135,4,EX1_100,Lorewalker Cho,MINION,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
1,3,979,4,EX1_102,Demolisher,MINION,TRIGGER_VISUAL,MECHANICAL,,,,,,,,,,,,,,,
2,3,453,3,EX1_103,Coldlight Seer,MINION,BATTLECRY,MURLOC,,,,,,,,,,,,,,,
,,1718,,EX1_103e,Mrghlglhal,ENCHANTMENT,,,,,,,,,,,,,,,,,
8,12,993,8,EX1_105,Mountain Giant,MINION,,ELEMENTAL,,,,,,,,,,,,,,,
4,6,420,5,EX1_110,Cairne Bloodhoof,MINION,DEATHRATTLE,,,,,,,,,,,,,,,,
4,4,318,5,EX1_110t,Baine Bloodhoof,MINION,,,,,,,,,,,,,,,,,
6,6,858,6,EX1_112,Gelbin Mekkatorque,MINION,BATTLECRY,,,,,,,,,,,,,,,,
6,5,559,2,EX1_116,Leeroy Jenkins,MINION,BATTLECRY,,,,,,,,,,,,,,,,
1,1,1912,1,EX1_116t,Whelp,MINION,,DRAGON,,,,,,,,,,,,,,,
,2,904,,EX1_124,Eviscerate,SPELL,COMBO,,,,,,,,,,,,,,,,
,2,282,,EX1_126,Betrayal,SPELL,,,,,,,,,,,,,,,,,
,1,990,,EX1_128,Conceal,SPELL,,,,,,,,,,,,,,,,,
,,1756,,EX1_128e,Concealed,ENCHANTMENT,,,,,,,,,,,,,,,,,
,3,667,,EX1_129,Fan of Knives,SPELL,,,,,,,,,,,,,,,,,
,1,584,,EX1_130,Noble Sacrifice,SPELL,SECRET,,,,,,,,,,,,,,,,
2,1,102,1,EX1_130a,Defender,MINION,,,,,,,,,,,,,,,,,
2,2,201,2,EX1_131,Defias Ringleader,MINION,COMBO,,,,,,,,,,,,,,,,
2,1,488,1,EX1_131t,Defias Bandit,MINION,,,,,,,,,,,,,,,,,
,1,462,,EX1_132,Eye for an Eye,SPELL,SECRET,,,,,,,,,,,,,,,,
2,3,391,,EX1_133,Perdition's Blade,WEAPON,BATTLECRY,,,,,,,,,,,,,,,,
3,3,1117,3,EX1_134,SI:7 Agent,MINION,COMBO,,,,,,,,,,,,,,,,
,1,140,,EX1_136,Redemption,SPELL,SECRET,,,,,,,,,,,,,,,,
,3,708,,EX1_137,Headcrack,SPELL,COMBO,,,,,,,,,,,,,,,,
,0,365,,EX1_144,Shadowstep,SPELL,,,,,,,,,,,,,,,,,
,0,1158,,EX1_145,Preparation,SPELL,,,,,,,,,,,,,,,,,
,,1760,,EX1_145o,Preparation,ENCHANTMENT,TAG_ONE_TURN_EFFECT,,,,,,,,,,,,,,,,
,2,836,,EX1_154,Wrath,SPELL,CHOOSE_ONE,,,,,,,,,,,,,,,,
,0,253,,EX1_154a,Wrath,SPELL,,,,,,,,,,,,,,,,,
,0,137,,EX1_154b,Wrath,SPELL,,,,,,,,,,,,,,,,,
,3,151,,EX1_155,Mark of Nature,SPELL,CHOOSE_ONE,,,,,,,,,,,,,,,,
,0,468,,EX1_155a,Mark of Nature,SPELL,,,,,,,,,,,,,,,,,
,,322,,EX1_155ae,Mark of Nature,ENCHANTMENT,,,,,,,,,,,,,,,,,
,0,690,,EX1_155b,Mark of Nature,SPELL,,,,,,,,,,,,,,,,,
,,276,,EX1_155be,Mark of Nature,ENCHANTMENT,,,,,,,,,,,,,,,,,
,4,381,,EX1_158,Soul of the Forest,SPELL,,,,,,,,,,,,,,,,,
,,638,,EX1_158e,Soul of the Forest,ENCHANTMENT,,,,,,,,,,,,,,,,,
2,2,600,2,EX1_158t,Treant,MINION,,,,,,,,,,,,,,,,,
,2,503,,EX1_160,Power of the Wild,SPELL,CHOOSE_ONE,,,,,,,,,,,,,,,,
,0,60,,EX1_160a,Summon a Panther,SPELL,,,,,,,,,,,,,,,,,
,0,835,,EX1_160b,Leader of the Pack,SPELL,,,,,,,,,,,,,,,,,
,,980,,EX1_160be,Leader of the Pack,ENCHANTMENT,,,,,,,,,,,,,,,,,
3,2,812,2,EX1_160t,Panther,MINION,,BEAST,,,,,,,,,,,,,,,
,1,233,,EX1_161,Naturalize,SPELL,,,,,,,,,,,,,,,,,
2,2,985,2,EX1_162,Dire Wolf Alpha,MINION,ADJACENT_BUFF,BEAST,,,,,,,,,,,,,,,
,,705,,EX1_162o,Strength of the Pack,ENCHANTMENT,,,,,,,,,,,,,,,,,
,5,95,,EX1_164,Nourish,SPELL,CHOOSE_ONE,,,,,,,,,,,,,,,,
,0,451,,EX1_164a,Nourish,SPELL,,,,,,,,,,,,,,,,,
,0,325,,EX1_164b,Nourish,SPELL,,,,,,,,,,,,,,,,,
4,5,692,4,EX1_165,Druid of the Claw,MINION,CHOOSE_ONE,,,,,,,,,,,,,,,,
,0,63,,EX1_165a,Cat Form,SPELL,,,,,,,,,,,,,,,,,
,0,99,,EX1_165b,Bear Form,SPELL,,,,,,,,,,,,,,,,,
4,5,1681,4,EX1_165t1,Druid of the Claw,MINION,CHARGE,BEAST,,,,,,,,,,,,,,,
4,5,1682,6,EX1_165t2,Druid of the Claw,MINION,TAUNT,BEAST,,,,,,,,,,,,,,,
2,4,601,2,EX1_166,Keeper of the Grove,MINION,CHOOSE_ONE,,,,,,,,,,,,,,,,
,0,987,,EX1_166a,Moonfire,SPELL,,,,,,,,,,,,,,,,,
,0,321,,EX1_166b,Dispel,SPELL,SILENCE,,,,,,,,,,,,,,,,
,0,254,,EX1_169,Innervate,SPELL,,,,,,,,,,,,,,,,,
2,3,1098,3,EX1_170,Emperor Cobra,MINION,POISONOUS,BEAST,,,,,,,,,,,,,,,
,6,823,,EX1_173,Starfire,SPELL,,,,,,,,,,,,,,,,,
5,7,1035,5,EX1_178,Ancient of War,MINION,CHOOSE_ONE,,,,,,,,,,,,,,,,
,0,578,,EX1_178a,Rooted,SPELL,,,,,,,,,,,,,,,,,
,,153,,EX1_178ae,Rooted,ENCHANTMENT,,,,,,,,,,,,,,,,,
,0,182,,EX1_178b,Uproot,SPELL,,,,,,,,,,,,,,,,,
,,876,,EX1_178be,Uprooted,ENCHANTMENT,,,,,,,,,,,,,,,,,
,1,505,,EX1_238,Lightning Bolt,SPELL,OVERLOAD,,,,,,,,,,,,,,,,
,3,864,,EX1_241,Lava Burst,SPELL,OVERLOAD,,,,,,,,,,,,,,,,
3,1,618,1,EX1_243,Dust Devil,MINION,OVERLOAD,ELEMENTAL,,,,,,,,,,,,,,,
,0,830,,EX1_244,Totemic Might,SPELL,,,,,,,,,,,,,,,,,
,,294,,EX1_244e,Totemic Might,ENCHANTMENT,,,,,,,,,,,,,,,,,
,1,767,,EX1_245,Earth Shock,SPELL,SILENCE,,,,,,,,,,,,,,,,
,4,766,,EX1_246,Hex,SPELL,,,,,,,,,,,,,,,,,
,,1635,,EX1_246e,Hexxed,ENCHANTMENT,MORPH,,,,,,,,,,,,,,,,
2,2,960,,EX1_247,Stormforged Axe,WEAPON,OVERLOAD,,,,,,,,,,,,,,,,
,3,238,,EX1_248,Feral Spirit,SPELL,OVERLOAD,,,,,,,,,,,,,,,,
7,7,336,5,EX1_249,Baron Geddon,MINION,TRIGGER_VISUAL,ELEMENTAL,,,,,,,,,,,,,,,
7,5,1141,8,EX1_250,Earth Elemental,MINION,OVERLOAD,ELEMENTAL,,,,,,,,,,,,,,,
,1,299,,EX1_251,Forked Lightning,SPELL,OVERLOAD,,,,,,,,,,,,,,,,
2,3,774,4,EX1_258,Unbound Elemental,MINION,TRIGGER_VISUAL,ELEMENTAL,,,,,,,,,,,,,,,
,,1738,,EX1_258e,Overloading,ENCHANTMENT,,,,,,,,,,,,,,,,,
,3,629,,EX1_259,Lightning Storm,SPELL,OVERLOAD,,,,,,,,,,,,,,,,
3,4,1737,3,EX1_274,Ethereal Arcanist,MINION,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
,,1779,,EX1_274e,Raw Power!,ENCHANTMENT,,,,,,,,,,,,,,,,,
,4,430,,EX1_275,Cone of Cold,SPELL,FREEZE,,,,,,,,,,,,,,,,
,1,564,,EX1_277,Arcane Missiles,SPELL,ImmuneToSpellpower,,,,,,,,,,,,,,,,
,2,573,,EX1_278,Shiv,SPELL,,,,,,,,,,,,,,,,,
,10,1087,,EX1_279,Pyroblast,SPELL,,,,,,,,,,,,,,,,,
5,6,512,5,EX1_283,Frost Elemental,MINION,BATTLECRY,ELEMENTAL,,,,,,,,,,,,,,,
4,5,825,4,EX1_284,Azure Drake,MINION,BATTLECRY,DRAGON,,,,,,,,,,,,,,,
,3,113,,EX1_287,Counterspell,SPELL,SECRET,,,,,,,,,,,,,,,,
,3,621,,EX1_289,Ice Barrier,SPELL,SECRET,,,,,,,,,,,,,,,,
,3,195,,EX1_294,Mirror Entity,SPELL,SECRET,,,,,,,,,,,,,,,,
,3,192,,EX1_295,Ice Block,SPELL,SECRET,,,,,,,,,,,,,,,,
,,849,,EX1_295o,Ice Block,ENCHANTMENT,TAG_ONE_TURN_EFFECT,,,,,,,,,,,,,,,,
8,8,374,8,EX1_298,Ragnaros the Firelord,MINION,CANT_ATTACK,ELEMENTAL,,,,,,,,,,,,,,,
3,3,517,5,EX1_301,Felguard,MINION,BATTLECRY,DEMON,,,,,,,,,,,,,,,
,1,1092,,EX1_302,Mortal Coil,SPELL,,,,,,,,,,,,,,,,,
,4,147,,EX1_303,Shadowflame,SPELL,AFFECTED_BY_SPELL_POWER,,,,,,,,,,,,,,,,
3,3,1221,3,EX1_304,Void Terror,MINION,BATTLECRY,DEMON,,,,,,,,,,,,,,,
,,1702,,EX1_304e,Consume,ENCHANTMENT,,,,,,,,,,,,,,,,,
4,2,592,3,EX1_306,Succubus,MINION,BATTLECRY,DEMON,,,,,,,,,,,,,,,
,1,974,,EX1_308,Soulfire,SPELL,,,,,,,,,,,,,,,,,
,6,1100,,EX1_309,Siphon Soul,SPELL,,,,,,,,,,,,,,,,,
5,5,631,7,EX1_310,Doomguard,MINION,BATTLECRY,DEMON,,,,,,,,,,,,,,,
,8,859,,EX1_312,Twisting Nether,SPELL,,,,,,,,,,,,,,,,,
5,4,783,6,EX1_313,Pit Lord,MINION,BATTLECRY,DEMON,,,,,,,,,,,,,,,
0,4,969,4,EX1_315,Summoning Portal,MINION,AURA,,,,,,,,,,,,,,,,
,,52770,,EX1_315e,Portal Summoning,ENCHANTMENT,,,,,,,,,,,,,,,,,
,1,846,,EX1_316,Power Overwhelming,SPELL,,,,,,,,,,,,,,,,,
,,953,,EX1_316e,Power Overwhelming,ENCHANTMENT,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
,3,860,,EX1_317,Sense Demons,SPELL,,,,,,,,,,,,,,,,,
1,1,1723,1,EX1_317t,Worthless Imp,MINION,,DEMON,,,,,,,,,,,,,,,
3,1,1090,2,EX1_319,Flame Imp,MINION,BATTLECRY,DEMON,,,,,,,,,,,,,,,
,5,23,,EX1_320,Bane of Doom,SPELL,,,,,,,,,,,,,,,,,
3,9,777,15,EX1_323,Lord Jaraxxus,MINION,BATTLECRY,DEMON,,,,,,,,,,,,,,,
,,492,15,EX1_323h,Lord Jaraxxus,HERO,,DEMON,,,,,,,,,,,,,,,
3,3,1660,,EX1_323w,Blood Fury,WEAPON,,,,,,,,,,,,,,,,,
,0,1189,,EX1_332,Silence,SPELL,SILENCE,,,,,,,,,,,,,,,,
,4,220,,EX1_334,Shadow Madness,SPELL,,,,,,,,,,,,,,,,,
,,639,,EX1_334e,Shadow Madness,ENCHANTMENT,,,,,,,,,,,,,,,,,
0,4,886,5,EX1_335,Lightspawn,MINION,,ELEMENTAL,,,,,,,,,,,,,,,
,3,30,,EX1_339,Thoughtsteal,SPELL,,,,,,,,,,,,,,,,,
0,2,797,5,EX1_341,Lightwell,MINION,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
,4,145,,EX1_345,Mindgames,SPELL,,,,,,,,,,,,,,,,,
0,0,1720,1,EX1_345t,Shadow of Nothing,MINION,,,,,,,,,,,,,,,,,
,3,679,,EX1_349,Divine Favor,SPELL,,,,,,,,,,,,,,,,,
7,7,9,7,EX1_350,Prophet Velen,MINION,,,,,,,,,,,,,,,,,
,8,594,,EX1_354,Lay on Hands,SPELL,,,,,,,,,,,,,,,,,
,5,1522,,EX1_355,Blessed Champion,SPELL,,,,,,,,,,,,,,,,,
,,1523,,EX1_355e,Blessed Champion,ENCHANTMENT,,,,,,,,,,,,,,,,,
,1,854,,EX1_360,Humility,SPELL,,,,,,,,,,,,,,,,,
,,1088,,EX1_360e,Humility,ENCHANTMENT,,,,,,,,,,,,,,,,,
2,2,1022,2,EX1_362,Argent Protector,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,1,1373,,EX1_363,Blessing of Wisdom,SPELL,,,,,,,,,,,,,,,,,
,,1543,,EX1_363e,Blessing of Wisdom,ENCHANTMENT,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
,,1544,,EX1_363e2,Blessing of Wisdom,ENCHANTMENT,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
,5,435,,EX1_365,Holy Wrath,SPELL,AFFECTED_BY_SPELL_POWER,,,,,,,,,,,,,,,,
1,3,643,,EX1_366,Sword of Justice,WEAPON,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
,,1685,,EX1_366e,Justice Served,ENCHANTMENT,,,,,,,,,,,,,,,,,
,1,727,,EX1_371,Hand of Protection,SPELL,,,,,,,,,,,,,,,,,
,1,232,,EX1_379,Repentance,SPELL,SECRET,,,,,,,,,,,,,,,,
,,169,,EX1_379e,Repentance,ENCHANTMENT,,,,,,,,,,,,,,,,,
3,3,1167,3,EX1_382,Aldor Peacekeeper,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,,1918,,EX1_382e,Stand Down!,ENCHANTMENT,,,,,,,,,,,,,,,,,
6,8,890,6,EX1_383,Tirion Fordring,MINION,DEATHRATTLE,,,,,,,,,,,,,,,,
5,5,1730,,EX1_383t,Ashbringer,WEAPON,,,,,,,,,,,,,,,,,
,6,1174,,EX1_384,Avenging Wrath,SPELL,ImmuneToSpellpower,,,,,,,,,,,,,,,,
2,3,45,3,EX1_390,Tauren Warrior,MINION,ENRAGED,,,,,,,,,,,,,,,,
,,39838,,EX1_390e,Enraged,ENCHANTMENT,ENRAGED,,,,,,,,,,,,,,,,
,2,1074,,EX1_391,Slam,SPELL,,,,,,,,,,,,,,,,,
,2,400,,EX1_392,Battle Rage,SPELL,,,,,,,,,,,,,,,,,
2,2,790,3,EX1_393,Amani Berserker,MINION,ENRAGED,,,,,,,,,,,,,,,,
,,39836,,EX1_393e,Enraged,ENCHANTMENT,ENRAGED,,,,,,,,,,,,,,,,
1,4,700,7,EX1_396,Mogu'shan Warden,MINION,TAUNT,,,,,,,,,,,,,,,,
3,4,538,3,EX1_398,Arathi Weaponsmith,MINION,BATTLECRY,,,,,,,,,,,,,,,,
2,1,1707,,EX1_398t,Battle Axe,WEAPON,,,,,,,,,,,,,,,,,
2,5,768,7,EX1_399,Gurubashi Berserker,MINION,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
,,1621,,EX1_399e,Berserking,ENCHANTMENT,,,,,,,,,,,,,,,,,
,1,636,,EX1_400,Whirlwind,SPELL,,,,,,,,,,,,,,,,,
1,2,596,4,EX1_402,Armorsmith,MINION,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
0,1,866,4,EX1_405,Shieldbearer,MINION,TAUNT,,,,,,,,,,,,,,,,
,5,75,,EX1_407,Brawl,SPELL,,,,,,,,,,,,,,,,,
,4,804,,EX1_408,Mortal Strike,SPELL,,,,,,,,,,,,,,,,,
,1,511,,EX1_409,Upgrade!,SPELL,,,,,,,,,,,,,,,,,
,,726,,EX1_409e,Upgraded,ENCHANTMENT,,,,,,,,,,,,,,,,,
1,1,1661,,EX1_409t,Heavy Axe,WEAPON,,,,,,,,,,,,,,,,,
,1,546,,EX1_410,Shield Slam,SPELL,AFFECTED_BY_SPELL_POWER,,,,,,,,,,,,,,,,
7,7,810,,EX1_411,Gorehowl,WEAPON,,,,,,,,,,,,,,,,,
,,1521,,EX1_411e,Bloodrage,ENCHANTMENT,,,,,,,,,,,,,,,,,
,,1731,,EX1_411e2,Needs Sharpening,ENCHANTMENT,,,,,,,,,,,,,,,,,
3,3,1155,3,EX1_412,Raging Worgen,MINION,ENRAGED,,,,,,,,,,,,,,,,
,,39837,,EX1_412e,Enraged,ENCHANTMENT,ENRAGED,,,,,,,,,,,,,,,,
4,8,338,9,EX1_414,Grommash Hellscream,MINION,CHARGE,,,,,,,,,,,,,,,,
,,39835,,EX1_414e,Enraged,ENCHANTMENT,,,,,,,,,,,,,,,,,
2,2,976,1,EX1_506,Murloc Tidehunter,MINION,BATTLECRY,MURLOC,,,,,,,,,,,,,,,
1,1,1078,1,EX1_506a,Murloc Scout,MINION,,MURLOC,,,,,,,,,,,,,,,
3,3,1063,3,EX1_507,Murloc Warleader,MINION,AURA,MURLOC,,,,,,,,,,,,,,,
,,535,,EX1_507e,Mrgglaargl!,ENCHANTMENT,,,,,,,,,,,,,,,,,
1,1,510,1,EX1_508,Grimscale Oracle,MINION,,MURLOC,,,,,,,,,,,,,,,
,,729,,EX1_508o,Mlarggragllabl!,ENCHANTMENT,,,,,,,,,,,,,,,,,
1,1,475,2,EX1_509,Murloc Tidecaller,MINION,TRIGGER_VISUAL,MURLOC,,,,,,,,,,,,,,,
,,1719,,EX1_509e,Blarghghl,ENCHANTMENT,,,,,,,,,,,,,,,,,
1,2,1133,1,EX1_522,Patient Assassin,MINION,POISONOUS,,,,,,,,,,,,,,,,
2,2,1281,2,EX1_531,Scavenging Hyena,MINION,TRIGGER_VISUAL,BEAST,,,,,,,,,,,,,,,
,,1633,,EX1_531e,Well Fed,ENCHANTMENT,,,,,,,,,,,,,,,,,
,2,1091,,EX1_533,Misdirection,SPELL,SECRET,,,,,,,,,,,,,,,,
6,6,1261,5,EX1_534,Savannah Highmane,MINION,DEATHRATTLE,BEAST,,,,,,,,,,,,,,,
2,2,1624,2,EX1_534t,Hyena,MINION,,BEAST,,,,,,,,,,,,,,,
3,3,1662,,EX1_536,Eaglehorn Bow,WEAPON,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
,,1680,,EX1_536e,Upgraded,ENCHANTMENT,,,,,,,,,,,,,,,,,
,5,394,,EX1_537,Explosive Shot,SPELL,,,,,,,,,,,,,,,,,
,3,1243,,EX1_538,Unleash the Hounds,SPELL,,,,,,,,,,,,,,,,,
1,1,1715,1,EX1_538t,Hound,MINION,CHARGE,BEAST,,,,,,,,,,,,,,,
,3,296,,EX1_539,Kill Command,SPELL,,,,,,,,,,,,,,,,,
8,9,1144,8,EX1_543,King Krush,MINION,CHARGE,BEAST,,,,,,,,,,,,,,,
,2,896,,EX1_544,Flare,SPELL,,,,,,,,,,,,,,,,,
,1,903,,EX1_549,Bestial Wrath,SPELL,,,,,,,,,,,,,,,,,
,,668,,EX1_549o,Bestial Wrath,ENCHANTMENT,TAG_ONE_TURN_EFFECT,,,,,,,,,,,,,,,,
,2,455,,EX1_554,Snake Trap,SPELL,SECRET,,,,,,,,,,,,,,,,
1,1,204,1,EX1_554t,Snake,MINION,,BEAST,,,,,,,,,,,,,,,
2,3,778,3,EX1_556,Harvest Golem,MINION,DEATHRATTLE,MECHANICAL,,,,,,,,,,,,,,,
0,2,1147,4,EX1_557,Nat Pagle,MINION,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
5,5,912,4,EX1_558,Harrison Jones,MINION,BATTLECRY,,,,,,,,,,,,,,,,
5,7,1080,7,EX1_559,Archmage Antonidas,MINION,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
8,9,411,8,EX1_560,Nozdormu,MINION,,DRAGON,,,,,,,,,,,,,,,
8,9,581,8,EX1_561,Alexstrasza,MINION,BATTLECRY,DRAGON,,,,,,,,,,,,,,,
,,1778,,EX1_561e,Alexstrasza's Fire,ENCHANTMENT,,,,,,,,,,,,,,,,,
8,9,363,8,EX1_562,Onyxia,MINION,BATTLECRY,DRAGON,,,,,,,,,,,,,,,
4,9,436,12,EX1_563,Malygos,MINION,SPELLPOWER,DRAGON,,,,,,,,,,,,,,,
3,5,531,3,EX1_564,Faceless Manipulator,MINION,BATTLECRY,,,,,,,,,,,,,,,,
0,2,1008,3,EX1_565,Flametongue Totem,MINION,ADJACENT_BUFF,TOTEM,,,,,,,,,,,,,,,
,,516,,EX1_565o,Flametongue,ENCHANTMENT,,,,,,,,,,,,,,,,,
2,5,352,,EX1_567,Doomhammer,WEAPON,OVERLOAD,,,,,,,,,,,,,,,,
,4,577,,EX1_570,Bite,SPELL,,,,,,,,,,,,,,,,,
,,1708,,EX1_570e,Bite,ENCHANTMENT,TAG_ONE_TURN_EFFECT,,,,,,,,,,,,,,,,
,5,493,,EX1_571,Force of Nature,SPELL,,,,,,,,,,,,,,,,,
4,9,1186,12,EX1_572,Ysera,MINION,TRIGGER_VISUAL,DRAGON,,,,,,,,,,,,,,,
5,9,36,8,EX1_573,Cenarius,MINION,CHOOSE_ONE,,,,,,,,,,,,,,,,
,0,1145,,EX1_573a,Demigod's Favor,SPELL,,,,,,,,,,,,,,,,,
,,331,,EX1_573ae,Demigod's Favor,ENCHANTMENT,,,,,,,,,,,,,,,,,
,0,364,,EX1_573b,Shan'do's Lesson,SPELL,,,,,,,,,,,,,,,,,
2,2,678,2,EX1_573t,Treant,MINION,TAUNT,,,,,,,,,,,,,,,,
0,3,513,3,EX1_575,Mana Tide Totem,MINION,TRIGGER_VISUAL,TOTEM,,,,,,,,,,,,,,,
9,6,962,7,EX1_577,The Beast,MINION,DEATHRATTLE,BEAST,,,,,,,,,,,,,,,
,1,481,,EX1_578,Savagery,SPELL,AFFECTED_BY_SPELL_POWER,,,,,,,,,,,,,,,,
,2,461,,EX1_581,Sap,SPELL,,,,,,,,,,,,,,,,,
1,3,175,4,EX1_582,Dalaran Mage,MINION,SPELLPOWER,,,,,,,,,,,,,,,,
5,6,424,4,EX1_583,Priestess of Elune,MINION,BATTLECRY,,,,,,,,,,,,,,,,
2,4,915,5,EX1_584,Ancient Mage,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,,863,,EX1_584e,Teachings of the Kirin Tor,ENCHANTMENT,,,,,,,,,,,,,,,,,
8,10,211,8,EX1_586,Sea Giant,MINION,,,,,,,,,,,,,,,,,
3,4,178,3,EX1_587,Windspeaker,MINION,BATTLECRY,,,,,,,,,,,,,,,,
3,3,755,3,EX1_590,Blood Knight,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,,258,,EX1_590e,Shadows of M'uru,ENCHANTMENT,,,,,,,,,,,,,,,,,
3,4,237,5,EX1_591,Auchenai Soulpriest,MINION,AURA,,,,,,,,,,,,,,,,
,,52748,,EX1_591e,Soulweaving,ENCHANTMENT,,,,,,,,,,,,,,,,,
4,5,670,4,EX1_593,Nightblade,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,3,286,,EX1_594,Vaporize,SPELL,SECRET,,,,,,,,,,,,,,,,
4,4,811,2,EX1_595,Cult Master,MINION,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
,2,1142,,EX1_596,Demonfire,SPELL,,,,,,,,,,,,,,,,,
,,26,,EX1_596e,Demonfire,ENCHANTMENT,,,,,,,,,,,,,,,,,
1,3,926,5,EX1_597,Imp Master,MINION,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
1,1,76,1,EX1_598,Imp,MINION,,DEMON,,,,,,,,,,,,,,,
2,2,285,2,EX1_603,Cruel Taskmaster,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,,1645,,EX1_603e,Whipped Into Shape,ENCHANTMENT,,,,,,,,,,,,,,,,,
2,3,654,4,EX1_604,Frothing Berserker,MINION,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
,,1177,,EX1_604o,Berserk,ENCHANTMENT,,,,,,,,,,,,,,,,,
,3,1023,,EX1_606,Shield Block,SPELL,,,,,,,,,,,,,,,,,
,0,22,,EX1_607,Inner Rage,SPELL,,,,,,,,,,,,,,,,,
,,320,,EX1_607e,Inner Rage,ENCHANTMENT,,,,,,,,,,,,,,,,,
3,2,614,2,EX1_608,Sorcerer's Apprentice,MINION,AURA,,,,,,,,,,,,,,,,
,,52759,,EX1_608e,Apprentice's Assitance,ENCHANTMENT,,,,,,,,,,,,,,,,,
,2,814,,EX1_609,Snipe,SPELL,SECRET,,,,,,,,,,,,,,,,
,2,585,,EX1_610,Explosive Trap,SPELL,SECRET,,,,,,,,,,,,,,,,
,2,519,,EX1_611,Freezing Trap,SPELL,SECRET,,,,,,,,,,,,,,,,
,,566,,EX1_611e,Trapped,ENCHANTMENT,,,,,,,,,,,,,,,,,
4,3,748,3,EX1_612,Kirin Tor Mage,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,,697,,EX1_612o,Power of the Kirin Tor,ENCHANTMENT,TAG_ONE_TURN_EFFECT,,,,,,,,,,,,,,,,
2,3,306,2,EX1_613,Edwin VanCleef,MINION,COMBO,,,,,,,,,,,,,,,,
,,593,,EX1_613e,VanCleef's Vengeance,ENCHANTMENT,,,,,,,,,,,,,,,,,
7,6,556,5,EX1_614,Illidan Stormrage,MINION,TRIGGER_VISUAL,DEMON,,,,,,,,,,,,,,,
2,1,1751,1,EX1_614t,Flame of Azzinoth,MINION,,ELEMENTAL,,,,,,,,,,,,,,,
2,2,715,2,EX1_616,Mana Wraith,MINION,AURA,,,,,,,,,,,,,,,,
,,52755,,EX1_616e,Mana Drain,ENCHANTMENT,,,,,,,,,,,,,,,,,
,3,1093,,EX1_617,Deadly Shot,SPELL,,,,,,,,,,,,,,,,,
,2,756,,EX1_619,Equality,SPELL,,,,,,,,,,,,,,,,,
,,931,,EX1_619e,Equality,ENCHANTMENT,,,,,,,,,,,,,,,,,
8,20,1372,8,EX1_620,Molten Giant,MINION,,ELEMENTAL,,,,,,,,,,,,,,,
,0,1362,,EX1_621,Circle of Healing,SPELL,,,,,,,,,,,,,,,,,
,3,1363,,EX1_622,Shadow Word: Death,SPELL,,,,,,,,,,,,,,,,,
